Strike,BidVolC,AskVolC,BidVolP,AskVolP
2.4,0.524899856772996,0.5664771102662424,4.692390300837748,5.36429413557667
2.45,0.570961749779378,0.6153804914855712,5.580023146299484,6.4844037332455935
2.5,0.6156731762078967,0.6628073017981626,5.707531949016169,6.97055324574183
2.55,0.6591306373741581,0.7088667652882314,6.250199435955647,7.476910991948286
2.6,0.701417354277306,0.730810654187734,6.787761910704415,8.077193330761204
2.3,0.46369430900324776,0.49820499611762836,3.713487970386053,4.823511756834426
2.35,0.49903076522672934,0.53012854136805,4.5991924056054385,4.717644892135756
2.2,0.4080749532941808,0.4244301564065793,2.9353187481044816,3.043149861801917
2.25,0.43163778159765315,0.44925117894991295,3.4140376351032447,4.267003957597833
2.1,0.40056208301164026,0.41291275504682584,1.8172579364589327,1.8505633942921202
2.15,0.39452919559051,0.40713481148538044,2.374210154890532,2.4631746114095168
2.05,0.3744132405194349,0.38316054628600227,1.2791063679190469,1.3055083368987053
2.0,0.3685184064849585,0.3874410964823556,0.7803107457895058,0.792614992
1.95,-0.0002969075413373235,nan,0.344134240146541,0.34674159245683633
1.85,0.36822966832041293,0.4261400200227205,nan,nan
1.9,0.3604753488405884,0.3743654315218723,nan,-0.08316765546366511
1.8,0.38904837339386866,0.44248793439503814,nan,nan
